date,ticker,qty,order
2020-01-27,TLT,65,BUY
2020-02-03,XLU,689,SELL
2020-02-03,XLK,178,SELL
2020-02-03,XLB,328,SELL
2020-02-03,XLP,232,BUY
2020-02-03,XLY,412,BUY
2020-02-03,XLI,396,SELL
2020-02-03,XLV,101,SELL
2020-02-03,XLF,285,SELL
2020-02-03,TLT,309,BUY
2020-02-10,XLU,66,SELL
2020-02-10,XLK,36,SELL
2020-02-10,XLB,192,SELL
2020-02-10,XLP,299,BUY
2020-02-10,XLY,96,SELL
2020-02-10,XLI,114,BUY
2020-02-10,XLV,205,SELL
2020-02-10,XLF,11,SELL
2020-02-10,TLT,44,BUY
2020-02-17,XLU,141,SELL
2020-02-17,XLK,93,SELL
2020-02-17,XLB,146,BUY
2020-02-17,XLP,152,SELL
2020-02-17,XLY,211,BUY
2020-02-17,XLI,196,BUY
2020-02-17,XLV,41,SELL
2020-02-17,XLF,315,SELL
2020-02-17,TLT,158,SELL
2020-02-24,XLU,77,SELL
2020-02-24,XLK,90,BUY
2020-02-24,XLB,11,SELL
2020-02-24,XLP,11,BUY
2020-02-24,XLY,83,SELL
2020-02-24,XLI,52,SELL
2020-02-24,XLV,126,BUY
2020-02-24,XLF,48,SELL
2020-02-24,TLT,90,SELL
2020-03-02,XLU,1250,SELL
2020-03-02,XLK,231,SELL
2020-03-02,XLB,798,SELL
2020-03-02,XLP,1251,SELL
2020-03-02,XLY,1083,SELL
2020-03-02,XLI,865,SELL
2020-03-02,XLV,1262,SELL
2020-03-02,XLF,1000,SELL
2020-03-02,TLT,2841,SELL
2020-04-02,XLU,375,BUY
2020-04-02,XLK,941,BUY
2020-04-02,XLB,560,BUY
2020-04-02,XLP,582,BUY
2020-04-02,XLY,1301,BUY
2020-04-02,XLI,35,BUY
2020-04-02,XLV,1359,BUY
2020-04-02,XLF,860,BUY
2020-04-02,TLT,3576,BUY
2020-04-06,XLU,66,SELL
2020-04-06,XLK,123,BUY
2020-04-06,XLB,275,SELL
2020-04-06,XLP,246,BUY
2020-04-06,XLY,27,SELL
2020-04-06,XLI,35,SELL
2020-04-06,XLV,212,BUY
2020-04-06,XLF,322,SELL
2020-04-06,TLT,132,SELL
2020-04-13,XLU,19,BUY
2020-04-13,XLK,54,BUY
2020-04-13,XLB,51,BUY
2020-04-13,XLP,151,SELL
2020-04-13,XLY,29,SELL
2020-04-13,XLV,118,SELL
2020-04-13,XLF,178,SELL
2020-04-13,TLT,277,SELL
2020-04-20,XLU,268,BUY
2020-04-20,XLK,52,BUY
2020-04-20,XLB,64,BUY
2020-04-20,XLP,44,BUY
2020-04-20,XLY,108,SELL
2020-04-20,XLV,547,SELL
2020-04-20,XLF,318,BUY
2020-04-20,TLT,44,SELL
2020-04-27,XLU,105,BUY
2020-04-27,XLK,101,SELL
2020-04-27,XLB,58,SELL
2020-04-27,XLP,172,SELL
2020-04-27,XLY,31,SELL
2020-04-27,XLV,104,BUY
2020-04-27,XLF,424,SELL
2020-04-27,TLT,131,BUY
2020-05-04,XLU,110,SELL
2020-05-04,XLK,13,BUY
2020-05-04,XLB,190,BUY
2020-05-04,XLP,18,SELL
2020-05-04,XLY,167,BUY
