date,XLE,XLU,XLK,XLB,XLP,XLY,XLI,XLV,XLF,TLT
2018-07-30,59.58643341064453,44.27361297607422,66.8025131225586,53.09878158569336,46.34604263305664,105.0264892578125,68.50159454345703,80.39212036132812,25.25055885314941,105.11011505126952
2018-07-31,59.47845458984375,44.671329498291016,66.98194885253906,53.58321380615234,46.56333923339844,105.51959991455078,70.01250457763672,81.23249816894531,25.07115936279297,105.68399047851562
2018-08-01,58.653228759765625,44.38361740112305,67.58641815185547,53.035980224609375,46.17219924926758,104.99803161621094,69.06591033935547,81.25074768066406,25.07115936279297,104.82303619384766
2018-08-02,58.32929611206055,44.6036376953125,68.43644714355469,52.686126708984375,46.64156723022461,105.71875,68.97489929199219,81.55219268798828,25.08012962341309,104.97345733642578
2018-08-03,58.028507232666016,45.1028938293457,68.6820068359375,53.18849182128906,47.18917083740234,106.07909393310548,69.03861999511719,82.03632354736328,25.2236442565918,105.49555206298828
2018-08-06,58.244441986083984,45.13674545288086,69.05035400390625,53.17055130004883,47.23263168334961,106.79036712646484,69.13873291015625,82.18245697021484,25.35820198059082,105.55747985839844
2018-08-07,58.67635345458984,45.06904602050781,69.31483459472656,53.34997177124024,46.94579315185547,107.2834930419922,69.6302490234375,82.19161224365234,25.474802017211918,105.00884246826172
2018-08-08,58.25216674804688,44.83210754394531,69.50370788574219,53.12571334838867,46.58941650390625,107.39729309082033,69.3207778930664,82.3194808959961,25.537599563598636,105.1150131225586
2018-08-09,57.71229934692383,45.03519058227539,69.53205108642578,53.41276550292969,46.45034408569336,107.79558563232422,68.93848419189453,82.22814178466797,25.385103225708008,105.99988555908205
2018-08-10,58.06707000732422,44.8405647277832,68.97480010986328,52.64126968383789,46.27651596069336,106.8946762084961,68.3286361694336,81.87190246582031,25.089094161987305,106.76976013183594
2018-08-13,57.32667541503906,44.89979934692383,68.88036346435547,52.11198043823242,46.27651596069336,106.35413360595705,68.00099182128906,81.8993148803711,24.84691047668457,106.54856872558594
2018-08-14,57.46550369262695,44.99288558959961,69.30537414550781,52.55155563354492,46.598106384277344,107.38782501220705,68.47429656982422,82.28295135498047,25.08012962341309,106.30963897705078
2018-08-15,55.46026992797852,45.40753555297852,68.6820068359375,51.71726608276367,46.78934097290039,106.07909393310548,68.14662170410156,82.14592742919922,24.882787704467773,106.92906951904295
2018-08-16,55.861305236816406,45.89834213256836,68.98424530029297,52.031246185302734,47.458621978759766,106.6007080078125,69.01130676269531,82.94975280761719,25.214675903320312,106.92020416259766
2018-08-17,56.000144958496094,46.13526916503906,69.08814239501953,52.4169921875,47.823692321777344,106.6955337524414,69.43000793457031,83.20552062988281,25.268497467041016,107.05291748046876
2018-08-20,56.37805938720703,45.97449493408203,68.98424530029297,52.7848014831543,47.79761505126953,107.45419311523438,69.89419555664062,83.47955322265625,25.349225997924805,107.7696762084961
2018-08-21,56.66339874267578,45.644474029541016,69.09757232666016,52.99113082885742,47.458621978759766,108.30767822265624,70.41301727294922,83.47955322265625,25.44790267944336,107.40689849853516
2018-08-22,57.34210968017578,45.30598449707031,69.30537414550781,52.72201156616211,47.16309356689453,108.42147827148438,69.7303695678711,83.56177520751953,25.35820198059082,107.8316421508789
2018-08-23,57.072174072265625,45.27214050292969,69.45646667480469,52.36316680908203,47.05009841918945,108.31716918945312,69.53012084960938,83.53434753417969,25.241586685180664,107.99974060058594
2018-08-24,57.48864364624024,45.46676635742188,70.1553955078125,53.04496383666992,46.98925018310547,108.95252990722656,69.83049774169922,83.936279296875,25.33128547668457,108.21210479736328
2018-08-27,57.91281127929688,45.18751525878906,70.79765319824219,53.77159881591797,47.01532745361328,109.65428924560548,70.71339416503906,84.23771667480469,25.67214775085449,107.59270477294922
2018-08-28,57.66601943969727,45.09443283081055,70.92040252685547,53.56526947021485,46.8588752746582,109.87239837646484,70.5677490234375,84.28338623046875,25.64523696899414,106.94673919677734
2018-08-29,58.02079772949219,45.42445373535156,71.5626449584961,53.96895599365234,46.91102600097656,111.10523986816406,70.62236022949219,84.83145904541016,25.636268615722656,107.08830261230467
2018-08-30,57.85883331298828,45.44137954711914,71.34542846679688,53.33202362060547,46.76325607299805,110.46985626220705,70.130859375,84.76751708984375,25.438928604125977,107.31839752197266
2018-08-31,57.41151428222656,45.24675369262695,71.40209197998047,53.17055130004883,46.745872497558594,110.90608215332033,70.17635345458984,84.7492446899414,25.412019729614254,107.07062530517578
2018-09-03,57.41151428222656,45.24675369262695,71.40209197998047,53.17055130004883,46.745872497558594,110.90608215332033,70.17635345458984,84.7492446899414,25.412019729614254,107.07062530517578
2018-09-04,57.28812789916992,45.44984817504883,71.1281967163086,52.80273818969727,46.68502426147461,111.11471557617188,70.12174987792969,84.07328796386719,25.537599563598636,106.45159149169922
2018-09-05,57.21099090576172,46.08449935913086,70.2403793334961,53.152610778808594,47.22394943237305,109.91983032226562,70.62236022949219,84.41129302978516,25.555540084838867,106.16779327392578
2018-09-06,56.15438461303711,46.34682846069336,69.73038482666016,53.26025772094727,47.35432434082031,109.61634826660156,70.84081268310547,84.41129302978516,25.438928604125977,106.55801391601562
2018-09-07,56.146671295166016,45.77987289428711,69.49427795410156,52.9103889465332,47.25870895385742,109.60687255859376,70.62236022949219,84.53915405273438,25.412019729614254,105.65338897705078
2018-09-10,56.12353897094727,46.008338928222656,69.71146392822266,52.97319030761719,47.4238510131836,110.01464080810548,70.98643493652344,84.31991577148438,25.385103225708008,106.04362487792967
2018-09-11,56.65569305419922,45.889869689941406,70.3065185546875,53.080841064453125,47.25001525878906,110.89659118652344,70.9682388305664,84.24685668945312,25.412019729614254,105.23656463623048
2018-09-12,56.948760986328125,45.847564697265625,70.01372528076172,53.10774993896485,47.79761505126953,111.10523986816406,71.1866683959961,84.66703796386719,25.17879676818848,105.4848861694336
2018-09-13,56.9719123840332,46.19449996948242,70.83541107177734,53.314090728759766,47.72807312011719,111.29489135742188,71.6144790649414,85.71748352050781,25.142921447753903,105.64451599121094
2018-09-14,57.27268600463867,45.94910430908203,70.77873229980469,53.29615020751953,47.597694396972656,110.87760925292967,71.96946716308594,85.43434143066406,25.32231330871582,105.1390380859375
2018-09-17,57.36522674560547,46.10142517089844,69.89093780517578,53.48453140258789,47.77154159545898,109.50257110595705,71.99674987792969,85.12376403808594,25.214675903320312,105.1390380859375
2018-09-18,57.74314880371094,46.01679611206055,70.3348388671875,53.53835678100586,47.57161712646485,110.89659118652344,72.65210723876953,85.61702728271484,25.340259552001957,104.03929138183594
2018-09-19,57.92052459716797,45.01827621459961,70.1553955078125,54.12147521972656,47.48469543457031,110.94400024414062,72.58838653564453,85.4982681274414,25.77081680297852,103.41845703125
2018-09-20,57.93595886230469,45.111358642578125,70.98652648925781,54.70457077026367,48.08444595336914,111.70267486572266,72.69761657714844,86.32949829101562,25.99506950378418,103.89738464355467
2018-09-21,58.31879425048828,45.30346298217773,70.70602416992188,54.58649826049805,48.1614875793457,111.20902252197266,73.16773223876953,86.44596862792969,25.8941593170166,103.85302734375
2018-09-24,59.17300033569336,44.90217208862305,71.05665588378906,53.82033920288086,47.42619323730469,110.48615264892578,71.91472625732422,86.62019348144531,25.60584259033203,103.5869598388672
2018-09-25,59.55351638793945,44.28742980957031,70.97135925292969,53.54092025756836,47.14608001708984,110.95220184326172,71.69520568847656,86.35426330566406,25.506738662719727,103.48054504394533
2018-09-26,58.97885513305664,43.85198211669922,70.70602416992188,53.009124755859375,47.1985969543457,111.20902252197266,71.64947509765625,86.54681396484375,25.200403213500977,104.20777893066406
2018-09-27,58.97885513305664,44.30449295043945,71.12298583984375,52.5494270324707,47.1373176574707,111.58946990966795,71.75008392333984,86.98699951171875,25.11030578613281,104.2787094116211
2018-09-28,58.81579208374024,44.95339584350586,71.38835144042969,52.21592330932617,47.20735931396485,111.49434661865234,71.7043685913086,87.25291442871094,24.849023818969727,104.00379943847656
2018-10-01,59.63117599487305,44.799713134765625,71.7294921875,52.73870086669922,47.172340393066406,111.15194702148438,72.33543395996094,87.68392181396484,24.9481258392334,103.24026489257812
2018-10-02,59.69329833984375,45.40592193603516,71.73896789550781,52.96405029296875,47.44370269775391,109.64911651611328,72.50006103515625,87.58304595947266,24.9481258392334,103.87135314941406
2018-10-03,60.17475128173828,44.85948181152344,71.95692443847656,52.58547592163086,46.935997009277344,109.2781753540039,72.8018798828125,87.41797637939453,25.18238639831543,102.0669937133789
2018-10-04,59.92626953125,45.09855270385742,70.65862274169922,52.342098236083984,46.822208404541016,107.56608581542967,72.56409454345703,86.56519317626953,25.35356903076172,101.34700012207033
2018-10-05,59.918487548828125,45.79014587402344,69.767822265625,51.95452117919922,46.778438568115234,106.75760650634766,72.18910217285156,86.46430206298828,25.22743797302246,100.4759521484375
2018-10-08,59.87189102172852,46.17435073852539,68.98124694824219,51.9274787902832,47.42619323730469,107.03343200683594,72.37203979492188,86.42761993408203,25.39862060546875,100.13815307617188
2018-10-09,60.40771865844727,46.36219024658203,69.2276611328125,50.20586395263672,47.32114791870117,106.71957397460938,71.25621795654297,86.57435607910156,25.299510955810547,101.1514663696289
2018-10-10,58.5129280090332,46.106056213378906,65.87289428710938,48.88988494873047,46.75217819213867,103.12418365478516,68.96058654785156,84.52943420410156,24.51565933227539,100.87592315673828
